ID,Comentario,Tipo
1,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
2,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
3,La página web es muy lenta y difícil de usar.,Queja
4,No me gusta que el personal no esté bien capacitado.,Queja
5,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
6,No responden los correos de atención al cliente.,Queja
7,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
8,El producto llegó defectuoso y tardaron en dar solución.,Queja
9,No responden los correos de atención al cliente.,Queja
10,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
11,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
12,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
13,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
14,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
15,El servicio al cliente fue muy lento y poco amable.,Queja
16,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
17,Sería genial si agregaran más opciones de pago.,Sugerencia
18,No responden los correos de atención al cliente.,Queja
19,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
20,La página web es muy lenta y difícil de usar.,Queja
21,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
22,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
23,El servicio al cliente fue muy lento y poco amable.,Queja
24,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
25,No me gusta que el personal no esté bien capacitado.,Queja
26,El servicio al cliente fue muy lento y poco amable.,Queja
27,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
28,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
29,La página web es muy lenta y difícil de usar.,Queja
30,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
31,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
32,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
33,El servicio al cliente fue muy lento y poco amable.,Queja
34,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
35,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
36,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
37,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
38,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
39,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
40,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
41,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
42,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
43,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
44,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
45,Sería genial si agregaran más opciones de pago.,Sugerencia
46,La página web es muy lenta y difícil de usar.,Queja
47,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
48,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
49,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
50,El producto llegó defectuoso y tardaron en dar solución.,Queja
51,El producto llegó defectuoso y tardaron en dar solución.,Queja
52,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
53,Sería genial si agregaran más opciones de pago.,Sugerencia
54,La página web es muy lenta y difícil de usar.,Queja
